"user_id","email","first_name","last_name","mobile_number","password"
"1","jonathan.anderson@example.com","Jonathan","Anderson","0812345678","$2a$10$o/BCNfjUAuJPobnjS.dc8enCIlly7/mHYk.juOIv9xhAnhg17tMju"
"5","daniel.williams@example.com","Daniel","Williams","0856789012","$2a$10$Wtt73Bpb4yU6NHTM2y2V2uqwzvXGacgVfji.2wIWAsrEIlq8SKQci"
"7","david.anderson@example.com","David","Anderson","0878901234","$2a$10$UvIvGllgR6zsKjk4P2j8G.qbj7zFqQyJZpbwzDo.gTdvQmCX.fEmC"
"9","james.garcia@example.com","James","Garcia","0890123456","$2a$10$N00YjviJeEMufzcCltAsgOR112S9n73qPfG3jPCL6BlTjifdwlc/K"
"10","isabella.rodriguez@example.com","Isabella","Rodriguez","0801234567","$2a$10$cxvpAph25u/bT4zqjR2y3O/A2ODDV4RMqDHGjP0OqddamhPoTutSG"
"11","sophia.martinez@example.com","Sophia","Martinez","0889012345","$2a$10$r3M/eZXgaEsDY19H5WIjpuwheyNtup//q8ri6w8cQl1edjyPOulc6"
"12","katherine.williams@example.com","Katherine","Williams","0823456789","$2a$10$pyXE23OAaX32tX7om9LaO.YI5RWWwO.MPK.Qvrc6RIaNZnyEtFeD2"
"13","dominique.harrison@example.com","Dominique","Harrison","0834567890","$2a$10$CQX7flTGZAnFWqmaLMnSFuVNCP177/bsdUMOHeg6HPtXgN45riiq2"
"14","emily.brown@example.com","Emily","Brown","0845678901","$2a$10$QacR63NGC/0S1f5hg6nrW.f1hpPctO4n4OLQrGomlgS3yGPYYpKQe"
"15","olivia.miller@example.com","Olivia","Miller","0867890123","$2a$10$YAWvGpZpm6AgLlV7VXTcIu2oxf2.stbheJKPPq/oJ1kKOvTqTXUmm"
